,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,41.779300689697266,77.24649810791016,54.99100112915039,87.8868179321289,313.4800109863281,43.82500076293945,77.24649810791016,54.99100112915039,92.88999938964844,313.4800109863281,44.36750030517578,78.08300018310547,56.0994987487793,93.9000015258789,317.0,43.415000915527344,76.26750183105469,54.45050048828125,92.11000061035156,307.3399963378906,44.33000183105469,77.72650146484375,56.0004997253418,93.73999786376953,315.79998779296875,133787200.0,131616000.0,56118000.0,33344100.0,9925200.0
2018-03-20,41.76499557495117,79.32550048828125,54.885501861572266,88.1138916015625,317.5,43.810001373291016,79.32550048828125,54.885501861572266,93.12999725341797,317.5,44.20000076293945,79.3499984741211,55.2599983215332,93.7699966430664,319.5,43.73500061035156,77.27050018310547,54.17300033569336,93.0,312.79998779296875,43.810001373291016,77.51699829101562,54.95000076293945,93.05000305175781,313.260009765625,78597600.0,91632000.0,36638000.0,23075200.0,5991900.0
2018-03-21,40.81882858276367,79.09300231933594,54.54399871826172,87.4988784790039,316.4800109863281,42.817501068115234,79.09300231933594,54.54399871826172,92.4800033569336,316.4800109863281,43.772499084472656,79.5,55.314998626708984,94.05000305175781,319.3999938964844,42.814998626708984,78.15850067138672,54.25749969482422,92.20999908447266,314.510009765625,43.7599983215332,79.32250213623047,54.637001037597656,92.93000030517578,316.3500061035156,148219600.0,95016000.0,37578000.0,24457100.0,5263900.0
2018-03-22,40.2420654296875,77.24600219726562,52.45399856567383,84.95377349853516,306.70001220703125,42.212501525878906,77.24600219726562,52.45399856567383,89.79000091552734,306.70001220703125,43.16999816894531,78.69249725341797,54.14500045776367,91.75,314.1199951171875,42.150001525878906,77.12000274658203,52.295501708984375,89.66000366210938,305.6600036621094,42.5,78.27349853515625,54.09400177001953,91.2699966430664,313.07000732421875,165963200.0,126412000.0,53340000.0,38604700.0,8063300.0
2018-03-23,39.31019592285156,74.77799987792969,51.07849884033203,82.48434448242188,300.94000244140625,41.23500061035156,74.77799987792969,51.07849884033203,87.18000030517578,300.94000244140625,42.47999954223633,77.45099639892578,53.167999267578125,90.45999908447266,309.3699951171875,41.23500061035156,74.76799774169922,51.06100082397461,87.08000183105469,300.3599853515625,42.09749984741211,76.95050048828125,52.35150146484375,89.5,307.4100036621094,164115200.0,160120000.0,43134000.0,44068900.0,9529900.0
2018-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,41.17632293701172,77.79299926757812,52.660499572753906,88.7288589477539,320.3500061035156,43.192501068115234,77.79299926757812,52.660499572753906,93.77999877929688,320.3500061035156,43.275001525878906,77.84950256347656,52.78150177001953,94.0,321.0299987792969,41.61000061035156,74.9625015258789,50.41999816894531,90.4000015258789,302.0,42.01750183105469,76.5,52.29999923706055,90.61000061035156,309.3599853515625,150164800.0,112494000.0,53302000.0,56396800.0,11988300.0
2018-03-27,40.120521545410156,74.85250091552734,50.255001068115234,84.65101623535156,300.69000244140625,42.084999084472656,74.85250091552734,50.255001068115234,89.47000122070312,300.69000244140625,43.787498474121094,78.79850006103516,53.24195098876953,95.13999938964844,322.8999938964844,41.72999954223633,74.11599731445312,49.84600067138672,88.51000213623047,297.0,43.41999816894531,78.62000274658203,53.150001525878906,94.94000244140625,322.489990234375,163690400.0,139992000.0,61906000.0,56569000.0,12068600.0
2018-03-28,39.677215576171875,71.57099914550781,50.22800064086914,84.57533264160156,285.7699890136719,41.619998931884766,71.57099914550781,50.22800064086914,89.38999938964844,285.7699890136719,42.505001068115234,72.79499816894531,51.21149826049805,91.2300033569336,298.79998779296875,41.29750061035156,69.30850219726562,49.03200149536133,88.87000274658203,281.6099853515625,41.8125,72.3499984741211,49.900001525878906,89.81999969482422,298.3900146484375,166674000.0,274106000.0,67386000.0,52501100.0,18972900.0
2018-03-29,39.987056732177734,72.36699676513672,51.589500427246094,86.35407257080078,295.3500061035156,41.94499969482422,72.36699676513672,51.589500427246094,91.2699966430664,295.3500061035156,42.9375,72.77349853515625,52.150001525878906,92.29000091552734,295.3500061035156,41.724998474121094,68.26000213623047,50.14500045776367,88.4000015258789,275.8999938964844,41.95249938964844,70.30000305175781,50.58150100708008,90.18000030517578,287.0,153594000.0,251622000.0,54536000.0,45867500.0,19145500.0
2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,39.724884033203125,68.59950256347656,50.32350158691406,83.75218963623047,280.2900085449219,41.66999816894531,68.59950256347656,50.32350158691406,88.5199966430664,280.2900085449219,42.23500061035156,71.06800079345703,51.7400016784668,90.87999725341797,292.8699951171875,41.11750030517578,67.75,49.51850128173828,87.51000213623047,275.04998779296875,41.65999984741211,70.88099670410156,51.14099884033203,90.47000122070312,291.94000244140625,150347200.0,209272000.0,53608000.0,48515400.0,13405800.0
2018-04-03,40.13242721557617,69.60250091552734,50.670501708984375,84.8780746459961,283.6700134277344,42.09749984741211,69.60250091552734,50.670501708984375,89.70999908447266,283.6700134277344,42.1875,70.69999694824219,51.04949951171875,90.05000305175781,291.25,41.220001220703125,67.7665023803711,49.70349884033203,87.88999938964844,278.010009765625,41.90999984741211,69.56900024414062,50.695499420166016,89.58000183105469,285.45001220703125,121112000.0,204624000.0,45502000.0,37213800.0,12694900.0
2018-04-04,40.899864196777344,70.52850341796875,51.25699996948242,87.3569564819336,288.94000244140625,42.90250015258789,70.52850341796875,51.25699996948242,92.33000183105469,288.94000244140625,43.002498626708984,70.76950073242188,51.4359016418457,92.76000213623047,290.30999755859375,41.192501068115234,67.64399719238281,49.650001525878906,87.7300033569336,271.2200012207031,41.220001220703125,67.91200256347656,49.670501708984375,87.8499984741211,273.6300048828125,138422000.0,139646000.0,49694000.0,35560000.0,12914000.0
2018-04-05,41.1834716796875,72.5875015258789,51.390499114990234,87.40426635742188,293.9700012207031,43.20000076293945,72.5875015258789,51.390499114990234,92.37999725341797,293.9700012207031,43.557498931884766,72.97799682617188,52.13949966430664,93.06999969482422,299.1600036621094,43.02000045776367,71.35350036621094,51.00654983520508,91.4000015258789,289.1099853515625,43.14500045776367,72.09950256347656,52.06650161743164,92.44000244140625,293.1499938964844,107732800.0,128270000.0,27260000.0,29771900.0,10655200.0
